episode,steps,reward,reward100,reward50,reward10,mean_s_q,mean_t_q,mean_td_error,mean_h_error,action_count0,mean_wg,median_wg,max_wg,min_wg
580,104777,-0.248533333333,-10.4,-10.2,-8.6,-1.96719,-1.92161,0.00426062,0.0150472,181,5.25029e-06,8.83852e-07,7.8609e-05,0.0
584,105501,-0.1979,-10.5,-10.6,-10.1,-1.79373,-1.74165,-0.0113792,0.0195005,181,6.8304e-06,1.03866e-06,9.09932e-05,0.0
588,106225,-0.176933333333,-10.4,-10.2,-9.5,-1.9712,-1.92165,-0.0125839,0.0298756,181,3.38629e-06,5.98322e-07,4.21533e-05,0.0
592,106949,-0.4624,-10.5,-9.8,-8.5,-2.06314,-2.01107,-0.0122792,0.0307437,181,4.74593e-06,8.08823e-07,6.55986e-05,0.0
596,107673,-0.0009,-10.6,-9.6,-9.2,-1.93306,-1.87881,-0.00952228,0.0155895,181,5.635e-06,9.07852e-07,9.48301e-05,0.0
600,108397,-0.0019,-10.1,-9.0,-11.3,-2.1225,-2.04391,-0.0207613,0.0297933,181,4.0369e-06,6.87345e-07,6.22831e-05,0.0
604,109121,-0.0366,-10.1,-9.4,-8.8,-2.33234,-2.26988,-0.00819377,0.0251349,181,6.56673e-06,1.16055e-06,6.96844e-05,0.0
608,109845,-0.0015,-10.2,-9.5,-11.2,-2.18211,-2.12889,-0.0148124,0.0304168,181,4.98023e-06,9.51983e-07,6.34049e-05,0.0
612,110569,-0.462066666667,-10.3,-9.8,-13.3,-2.26181,-2.19303,0.0051972,0.0247718,181,7.23836e-06,1.16483e-06,0.000135985,0.0
616,111293,-0.0001,-10.2,-9.5,-12.1,-1.85448,-1.80375,-0.00544005,0.019876,181,6.33888e-06,1.22724e-06,0.000114476,0.0
620,112017,-0.0002,-9.9,-9.8,-9.8,-1.84527,-1.80545,0.00185736,0.0169854,181,5.39108e-06,9.05934e-07,7.04303e-05,0.0
624,112741,-0.0008,-10.0,-10.3,-10.3,-1.94728,-1.88702,-0.0132691,0.0284388,181,5.54674e-06,9.91143e-07,9.96704e-05,0.0
628,113465,-0.2868,-10.1,-10.3,-9.1,-2.02096,-1.96707,-0.00301312,0.0260047,181,2.78174e-06,4.65085e-07,3.48353e-05,0.0
632,114189,-0.0073,-11.0,-11.5,-16.5,-2.46238,-2.30053,-0.0167256,0.0512068,181,3.86615e-06,7.09545e-07,8.01886e-05,0.0
636,114913,-0.0004,-11.2,-11.9,-19.2,-2.11248,-2.01248,-0.0189349,0.0324579,181,2.57545e-06,5.35278e-07,2.48046e-05,0.0
640,115637,-0.0678666666667,-11.0,-12.6,-15.6,-2.21078,-2.13432,0.000664927,0.0318157,181,6.89227e-06,1.29727e-06,0.000113181,0.0
644,116361,-0.0322333333333,-11.0,-12.4,-13.8,-2.13765,-2.06263,-0.0088383,0.0236631,181,4.15932e-06,7.80505e-07,5.30394e-05,0.0
648,117085,-0.0018,-11.6,-13.7,-17.5,-2.02926,-1.94355,-0.00692081,0.0286809,181,8.73018e-06,1.52802e-06,0.000111705,0.0
652,117809,-0.0588,-11.6,-14.0,-16.9,-1.91109,-1.83127,-0.00440072,0.0152995,181,5.95842e-06,9.4297e-07,9.46279e-05,0.0
656,118533,-0.0200333333333,-11.6,-13.7,-11.0,-1.68139,-1.65675,-0.00261597,0.0141679,181,4.35869e-06,7.01344e-07,5.85281e-05,0.0
660,119257,-0.2314,-11.3,-12.9,-6.7,-1.82401,-1.79375,-0.00701253,0.0167642,181,5.20439e-06,8.51041e-07,7.99667e-05,0.0
664,119981,-0.0061,-11.4,-13.4,-10.2,-2.08468,-1.99628,-0.0226955,0.0338532,181,3.56076e-06,6.03651e-07,5.93184e-05,0.0
668,120705,-0.0029,-11.3,-12.7,-10.5,-1.89235,-1.85554,-0.0144808,0.0226817,181,8.16488e-06,1.443e-06,8.99436e-05,0.0
672,121429,-0.295466666667,-11.5,-12.8,-9.1,-2.04583,-2.00327,-0.00442737,0.027151,181,5.31072e-06,9.31897e-07,6.78686e-05,0.0
